member_id,loan_amnt,annual_inc,loan_status,fico_range_high
68407277,3600.0,55000.0,Fully Paid,679.0
68355089,24700.0,65000.0,Fully Paid,719.0
68341763,20000.0,63000.0,Fully Paid,699.0
66310712,35000.0,110000.0,Current,789.0
68476807,10400.0,104433.0,Fully Paid,699.0
68426831,11950.0,34000.0,Fully Paid,694.0
68476668,20000.0,180000.0,Fully Paid,684.0
67275481,20000.0,85000.0,Fully Paid,709.0
68466926,10000.0,85000.0,Fully Paid,689.0
68616873,8000.0,42000.0,Fully Paid,704.0
68356421,22400.0,95000.0,Current,714.0
68426545,16000.0,70000.0,Current,724.0
68338832,1400.0,64000.0,Fully Paid,704.0
66624733,18000.0,150000.0,Charged Off,669.0
68466961,28000.0,92000.0,Fully Paid,724.0
68354783,9600.0,60000.0,Fully Paid,699.0
68466916,25000.0,109000.0,Fully Paid,749.0
68577849,18000.0,112000.0,Fully Paid,804.0
68506798,23000.0,64000.0,Current,704.0
68495092,8650.0,55000.0,Fully Paid,679.0
68566886,29900.0,65000.0,Fully Paid,719.0
68009401,16000.0,48000.0,Fully Paid,689.0
68476702,28000.0,125000.0,Fully Paid,699.0
68436666,5000.0,79000.0,Fully Paid,669.0
68476715,6000.0,100000.0,Fully Paid,699.0
67849662,4225.0,35000.0,Charged Off,729.0
68596180,20000.0,65000.0,Fully Paid,839.0
68526907,16000.0,109000.0,Fully Paid,684.0
68607141,17600.0,88000.0,Fully Paid,784.0
68526883,15000.0,44000.0,Fully Paid,689.0
67715283,16000.0,65000.0,Charged Off,679.0
68341789,24250.0,75000.0,Charged Off,664.0
68533595,12000.0,98000.0,Fully Paid,694.0
68415473,25000.0,79000.0,Charged Off,734.0
68537655,16800.0,118000.0,Current,684.0
68446769,7000.0,59000.0,Fully Paid,734.0
68367011,21000.0,52000.0,Fully Paid,684.0
68407301,27500.0,195000.0,Fully Paid,704.0
68356614,7200.0,72500.0,Fully Paid,729.0
68426865,20000.0,110000.0,Fully Paid,694.0
68476676,20000.0,70000.0,Fully Paid,684.0
68566951,10000.0,55000.0,Charged Off,689.0
68615044,16000.0,142000.0,Current,684.0
68527009,20000.0,75000.0,Fully Paid,729.0
68547583,8650.0,100000.0,Fully Paid,754.0
68587709,21000.0,54649.0,Fully Paid,674.0
68446771,7200.0,55000.0,Fully Paid,684.0
66796130,8800.0,92000.0,Fully Paid,669.0
68617034,14650.0,43160.0,Current,694.0
68387134,2500.0,50000.0,Fully Paid,674.0
68566925,11000.0,69000.0,Fully Paid,684.0
68516838,23850.0,68046.0,Current,669.0
68476697,15700.0,48000.0,Current,689.0
68566856,28800.0,60000.0,Current,804.0
68543413,10000.0,91392.0,Fully Paid,714.0
68366663,24000.0,77900.0,Current,744.0
68416916,28000.0,75000.0,Fully Paid,689.0
68444620,35000.0,128000.0,Fully Paid,689.0
68082535,7200.0,50000.0,Fully Paid,679.0
68466995,10000.0,40100.0,Fully Paid,684.0
68584507,16000.0,42000.0,Charged Off,674.0
68466924,21875.0,47590.0,Fully Paid,704.0
68367009,14025.0,39000.0,Fully Paid,679.0
68475450,35000.0,106000.0,Charged Off,734.0
68525943,20000.0,145000.0,Fully Paid,699.0
68340446,14000.0,60000.0,Charged Off,694.0
68615169,16000.0,62000.0,In Grace Period,724.0
68397043,28000.0,85000.0,Current,674.0
68506862,20000.0,70000.0,Charged Off,684.0
68341799,17600.0,44000.0,Current,684.0
68487261,4200.0,102500.0,Fully Paid,704.0
68597047,19000.0,75000.0,Fully Paid,669.0
68366999,15850.0,45000.0,Fully Paid,759.0
68506885,10000.0,42500.0,Current,709.0
68394562,30000.0,175000.0,Fully Paid,729.0
68416953,1500.0,45000.0,Fully Paid,749.0
68587652,25000.0,150000.0,Fully Paid,799.0
68407333,16250.0,50000.0,Current,694.0
68466066,20200.0,60000.0,Charged Off,724.0
68436934,23975.0,70000.0,Charged Off,689.0
68617057,15000.0,65000.0,Fully Paid,724.0
68536799,10000.0,41600.0,Fully Paid,699.0
68357012,15000.0,110000.0,Fully Paid,674.0
68376217,23100.0,110000.0,Charged Off,664.0
68526942,27300.0,65000.0,Charged Off,664.0
68396080,25000.0,135000.0,Fully Paid,709.0
68385794,15000.0,40000.0,Fully Paid,674.0
68374676,10000.0,30000.0,Fully Paid,719.0
68547679,18500.0,70000.0,Fully Paid,679.0
68537594,5000.0,32000.0,Fully Paid,689.0
68565856,9000.0,50000.0,Fully Paid,804.0
68367006,11000.0,85000.0,Fully Paid,759.0
68426699,20000.0,55000.0,Fully Paid,754.0
68377020,15000.0,80000.0,Fully Paid,779.0
68446746,12000.0,53750.0,Fully Paid,704.0
68537564,8000.0,45000.0,Fully Paid,674.0
68446784,12000.0,40000.0,Fully Paid,669.0
68376533,18000.0,75000.0,Fully Paid,719.0
68476714,3600.0,85000.0,Fully Paid,679.0
66615254,7200.0,20000.0,Charged Off,709.0
